ticker,cik,name,sic,simfin_industry_id,exchange,ipo_date,delist_date
BLDR,1316835,Builders FirstSource Inc,5211,110005,NASDAQ,28/06/2005,31/12/9998
BLFS,834365,Biolife Solutions Inc,3845,106003,NASDAQ,26/05/1992,31/12/9998
BLK,1364742,Blackrock Inc,6211,104001,NYSE,01/10/1999,31/12/9998
BLKB,1280058,Blackbaud Inc,7372,101003,NASDAQ,26/07/2004,31/12/9998
BLL,9389,Ball Corp,3411,103018,NYSE,07/09/1984,31/12/9998
BLMN,1546417,Bloomin Brands Inc,5812,999999,NASDAQ,08/08/2012,31/12/9998
BLOX,1223862,Infoblox Inc,9999,101005,NYSE,19/04/2012,07/11/2016
BLUE,1293971,bluebird bio Inc,2836,106002,NASDAQ,19/06/2013,31/12/9998
BMCH,1574815,BMC Stock Holdings Inc,5211,999999,NASDAQ,04/01/2016,31/12/9998
BMI,9092,Badger Meter Inc,3824,101001,NYSE,07/09/1984,31/12/9998
BMRN,1048477,BioMarin Pharmaceutical Inc,2834,106002,NASDAQ,26/07/1999,31/12/9998
BMS,11199,Bemis Company Inc,2670,103018,NYSE,07/09/1984,28/06/2019
BMTC,802681,Bryn Mawr Bank Corp,6022,104002,NASDAQ,08/08/1985,31/12/9998
BMY,14272,BristolMyers Squibb Company,2834,106005,NYSE,01/06/1972,31/12/9998
BNCN,1210227,NVS,6021,104002,NVS,01/01/1900,01/01/1900
BNED,9000019,Barnes & Noble Education Inc,9999,103002,NYSE,03/08/2015,31/12/9998
BNFT,1576169,Benefitfocus Inc,7372,101002,NASDAQ,18/09/2013,31/12/9998
BOBE,33769,Bob Evans Farms Inc,5812,999999,NASDAQ,05/09/1984,16/01/2018
BOH,46195,Bank of Hawaii Corp,6022,104002,NYSE,07/09/1984,31/12/9998
BOKF,875357,BOK Financial Corp,6021,104002,NASDAQ,05/09/1991,31/12/9998
BOLD,1628738,Bold Energy Inc,2836,999999,NASDAQ,20/07/2016,15/01/2020
BONT,9000020,NVS,9999,103002,NVS,01/01/1900,01/01/1900
BOOM,34067,Dynamic Materials Corp,3390,107004,NASDAQ,05/01/1989,31/12/9998
BOOT,1610250,Boot Barn Holdings Inc,5661,103002,NYSE,30/10/2014,31/12/9998
BOX,1372612,Box Inc,7372,101003,NYSE,23/01/2015,31/12/9998
BPFH,821127,Boston Private Financial Holdings Inc,6022,104002,NASDAQ,14/02/1994,31/12/9998
BPL,805022,Buckeye Partners LP,4610,107003,NYSE,17/12/1986,27/11/2019
BPMC,1597264,Blueprint Medicines Corp,2834,106002,NASDAQ,30/04/2015,31/12/9998
BPMP,1708301,BP Midstream Partners LP representing Limited Partner Interests,4610,107003,NYSE,26/10/2017,31/12/9998
BPOP,763901,Popular Inc,6022,104002,NASDAQ,26/03/1990,31/12/9998
BR,1383312,Broadridge Financial Solutions Inc,7389,100002,NYSE,02/04/2007,31/12/9998
BRC,746598,Brady Corp,3990,100007,NYSE,07/09/1984,31/12/9998
BRCD,1009626,Brocade Communications Systems Inc,3576,101001,NASDAQ,25/05/1999,20/11/2017
BRCM,1054374,Broadcom Corp,9999,101004,NASDAQ,04/01/2016,09/02/2016
BREW,892222,Craft Brew Alliance Inc,2082,102004,NASDAQ,18/08/1995,31/12/9998
BRID,14177,Bridgford Foods Corp,2013,102002,NASDAQ,07/09/1984,31/12/9998
BRKA,1067983,BERKSHIRE HATHAWAY INC,6331,111001,NVS,01/01/1900,01/01/1900
BRKL,1049782,Brookline Bancorp Inc,6035,999999,NASDAQ,25/03/1998,31/12/9998
BRKR,1109354,Bruker Corp,3826,999999,NASDAQ,04/08/2000,31/12/9998
BRKS,933974,Brooks Automation IncUSA,3559,101004,NASDAQ,02/02/1995,31/12/9998
BRO,79282,Brown Brown Inc,6411,104003,NYSE,03/03/1992,31/12/9998
BRRE,9000021,NVS,9999,999999,NVS,01/01/1900,01/01/1900
BRSS,1533526,Global Brass and Copper Holdings Inc,3350,100001,NYSE,23/05/2013,07/08/2019
BRX,1581068,Brixmor Property Group Inc,6798,109001,NYSE,30/10/2013,31/12/9998
BSET,10329,Bassett Furniture Industries Inc,2511,103004,NASDAQ,07/09/1984,31/12/9998
BSFT,1086909,BroadSoft Inc,7372,999999,NASDAQ,16/06/2010,02/02/2018
