,ticker,last_date_in_db,last_date_retrieved,records_retrieved,records_updated,status,loop_time,capture_date
23,ADP,2023-11-30,2024-01-12,62,20,succesful_update,1.1,2024-01-15
24,ADS,2022-02-28,1980-12-31,0,0,failed_no_data,0.85,2024-01-15
25,ADSK,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
26,ADT,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
27,AEE,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
28,AEL,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
29,AEO,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
30,AEP,2023-11-30,2024-01-12,62,20,succesful_update,1.0,2024-01-15
31,AEPPL,2022-03-14,1980-12-31,0,0,failed_no_data,0.99,2024-01-15
32,AEPPZ,2023-08-14,1980-12-31,0,0,failed_no_data,0.99,2024-01-15
33,AES,2023-11-30,2024-01-12,62,20,succesful_update,1.07,2024-01-15
34,AESC,2023-11-30,2024-01-12,62,20,succesful_update,1.09,2024-01-15
35,AFG,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
36,AFGB,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
37,AFGC,2023-11-30,2024-01-12,62,20,succesful_update,1.05,2024-01-15
38,AFGD,2023-11-30,2024-01-12,62,20,succesful_update,1.14,2024-01-15
39,AFGE,2023-11-30,2024-01-12,62,20,succesful_update,1.05,2024-01-15
40,AFIN,2022-01-31,1980-12-31,0,0,failed_no_data,0.85,2024-01-15
41,AFINO,2022-02-14,1980-12-31,0,0,failed_no_data,0.96,2024-01-15
42,AFINP,2022-02-14,1980-12-31,0,0,failed_no_data,0.95,2024-01-15
43,AFL,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
44,AGCO,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
45,AGNC,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
46,AGNCM,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
47,AGNCN,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
48,AGNCO,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
49,AGNCP,2023-11-30,2024-01-12,62,20,succesful_update,1.05,2024-01-15
50,AGO,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
51,AGR,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
52,AHCO,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
53,AIG,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
54,AIMC,2023-03-24,1980-12-31,0,0,failed_no_data,0.96,2024-01-15
55,AIRC,2023-11-30,2024-01-12,62,20,succesful_update,1.06,2024-01-15
56,AIZ,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
57,AIZN,2023-11-30,2024-01-12,62,20,succesful_update,1.12,2024-01-15
58,AJG,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
59,AKAM,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
60,AKR,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
61,AL,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
62,ALB,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
63,ALE,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
64,ALGN,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
65,ALGT,2023-11-30,2024-01-12,62,20,succesful_update,1.07,2024-01-15
